r,46.405945,-69.419893,987.52,27.7,1546592463,161,s0
r,46.405951,-69.419897,2628.38,21.74,1546834854,740,s0
p,46.405946,-69.4199,5496.9,27.0,1545387672,101,s1
p,46.405947,-69.419901,6446.78,32.04,1546323140,98,s1
z,46.405943,-69.419893,272.52,37.62,1546886264,150,s2
z,46.405942,-69.4199,5220.3,40.08,1545696541,383,s2
t,37.560318,-85.68765,1514.94,34.41,1545932224,284,s0
t,37.560323,-85.687648,3138.85,19.77,1546753483,955,s0
d,37.560313,-85.687652,1510.88,25.38,1545416383,438,s1
d,37.560322,-85.687649,6987.35,13.36,1546593273,181,s1
b,37.560314,-85.687657,3566.73,9.87,1545481086,472,s2
b,37.560315,-85.687658,1689.51,38.98,1545650436,1005,s2
a,27.026047,-104.683553,3057.55,31.5,1546386336,577,s0
a,27.026043,-104.683551,6970.94,28.14,1546360891,661,s0
d,27.026048,-104.683555,1172.64,19.75,1545451197,793,s1
d,27.026048,-104.683549,1176.36,8.61,1545453173,486,s1
d,27.026047,-104.683549,683.14,37.62,1545583633,546,s2
d,27.026051,-104.68355,3891.01,23.93,1546784922,525,s2
x,34.750942,-111.863111,6894.95,18.9,1546794165,116,s0
x,34.750947,-111.86311,6623.9,8.21,1545896118,668,s0
c,34.750946,-111.863109,1124.07,15.04,1546601138,883,s1
c,34.750946,-111.863117,2296.91,44.9,1546142637,500,s1
y,34.750949,-111.863117,2562.55,21.03,1546375937,292,s2
y,34.750952,-111.863117,3249.92,8.54,1545927383,368,s2
b,30.659207,-120.79248,4616.98,28.89,1546107187,498,s0
b,30.659202,-120.792477,4622.01,25.66,1546204288,282,s0
b,30.659209,-120.792477,1684.81,31.89,1546367304,327,s1
b,30.659208,-120.792482,4531.75,27.64,1546241926,397,s1
d,30.659207,-120.792481,3760.18,18.62,1546642962,988,s2
d,30.659206,-120.792481,4063.37,17.67,1546824978,246,s2
q,36.219094,-118.871947,3367.7,17.25,1546202604,458,s0
q,36.219097,-118.87194,5416.06,7.48,1546625028,806,s0
r,36.219102,-118.871941,3202.36,9.39,1545795881,528,s1
r,36.219101,-118.871939,3411.97,42.44,1546346753,139,s1
d,36.219092,-118.871945,829.33,30.08,1545918150,25,s2
d,36.2191,-118.871949,244.17,20.95,1546529776,443,s2
e,26.886147,-121.389922,3926.5,29.3,1545936783,881,s0
e,26.886151,-121.389921,5793.67,37.71,1546906650,872,s0
i,26.886154,-121.389925,6362.14,29.73,1545818951,914,s1
i,26.886151,-121.389915,598.24,26.68,1545703389,852,s1
b,26.886151,-121.389918,4701.14,21.75,1546395756,911,s2
b,26.886143,-121.389922,957.15,39.54,1545412267,1028,s2
c,41.403347,-87.49985,5573.38,13.0,1545365904,990,s0
c,41.403354,-87.499844,4388.54,6.03,1545500400,530,s0
t,41.403346,-87.499849,6391.19,44.01,1546716167,527,s1
t,41.403354,-87.499842,3123.75,12.7,1546760615,492,s1
f,41.40335,-87.499851,2172.26,31.49,1546384465,1066,s2
f,41.403346,-87.499844,273.5,33.16,1545400009,635,s2
