j,37.208514,-83.045691,3141.287,31.77,1546300804.0,74.0,s0
f,37.208524,-83.045683,3141.99,32.09,1546300804,194,s0
z,37.208521,-83.045682,3142.02,32.13,1546300804,525,s0
b,37.208522,-83.045682,3142.2,31.93,1546300804,587,s0
j,37.208519,-83.045691,3141.83,32.07,1546300804,957,s0
n,37.20852,-83.045681,3141.82,32.37,1546300805,586,s0
b,43.653401,-105.446049,6461.48,36.63,1546466635.0,83.0,s1
v,43.653405,-105.446046,6461.99,36.67,1546466635,470,s1
l,43.653401,-105.446048,6461.52,36.72,1546466635,1056,s1
c,43.653407,-105.446047,6462.34,37.06,1546466636,642,s1
c,43.653408,-105.446041,6461.72,36.72,1546466635,808,s1
b,43.653408,-105.446044,6461.95,36.64,1546466636,314,s1
d,32.439854,-68.164012,5920.203,9.45,1546595029.0,67.0,s2
k,32.43986,-68.164006,5920.75,10.34,1546595029,698,s2
g,32.439861,-68.164011,5921.02,10.26,1546595030,1046,s2
m,32.439864,-68.16401,5920.39,10.38,1546595030,620,s2
m,32.439855,-68.164002,5921.09,10.32,1546595029,932,s2
s,32.43986,-68.164007,5920.33,9.89,1546595029,871,s2
d,49.041655,-115.063961,4473.794,11.56,1546436839.0,54.0,s3
k,49.041664,-115.063957,4474.38,11.95,1546436840,472,s3
w,49.041665,-115.06396,4474.44,11.7,1546436840,306,s3
w,49.041659,-115.063957,4474.06,11.67,1546436840,661,s3
m,49.041663,-115.063956,4474.0,11.77,1546436840,75,s3
l,49.041664,-115.063956,4474.22,11.97,1546436839,121,s3
r,31.055598,-81.477167,2060.554,10.93,1545552883.0,48.0,s4
z,31.055607,-81.477165,2061.06,11.71,1545552883,191,s4
t,31.055601,-81.477167,2061.25,10.96,1545552884,74,s4
d,31.055603,-81.477161,2060.62,11.57,1545552884,281,s4
k,31.055604,-81.477163,2060.74,11.21,1545552883,351,s4
c,31.055598,-81.47716,2060.9,11.4,1545552883,935,s4
t,45.64888,-119.065035,6255.091,10.12,1546234951.0,69.0,s5
a,45.648883,-119.065032,6256.0,10.41,1546234951,949,s5
n,45.64889,-119.065029,6255.34,10.41,1546234952,536,s5
w,45.648884,-119.065032,6255.98,10.49,1546234951,229,s5
w,45.648884,-119.065029,6255.99,10.82,1546234952,928,s5
m,45.648888,-119.065026,6255.69,10.59,1546234952,521,s5
j,33.460786,-72.403955,4147.535,11.73,1546262625.0,27.0,s6
m,33.460797,-72.403948,4147.56,12.11,1546262625,305,s6
o,33.46079,-72.403952,4147.77,12.13,1546262626,808,s6
k,33.460788,-72.403953,4148.1,12.54,1546262625,558,s6
t,33.460787,-72.403953,4148.43,11.73,1546262626,203,s6
